Timestamp,Open,High,Low,Close,PrevClose,Change,Volume,TotalVolume,BuyQty,SellQty,BuyPrice,SellPrice,TotalBuyQty,TotalSellQty,AvgPrice,UpperCircuit,LowerCircuit,Exchange,StockName,Trend,MA_Fast,MA_Slow,BB_Mid,BB_Std,BB_Upper,BB_Lower,MACD,MACD_Signal,MACD_Hist,UpMove,DownMove,+DM,-DM,TR_tmp1,TR_tmp2,TR_tmp3,TR,+DI,-DI,DX,ADX
2025-08-01 14:55:39,240.1,240.71,234.05,236.92,241.0,-1.69,433,10730227,175,163,236.92,237.0,1422577,1059885,236.29,265.1,216.9,NSE Equity,OIL AND NATURAL GAS CORPORATIO,-,,,,,,,0.0,0.0,0.0,,,0.0,0.0,6.659999999999997,,,6.659999999999997,0.0,0.0,,
2025-08-01 14:55:40,240.1,240.71,234.05,237.0,241.0,-1.69,5,10730227,175,163,236.92,237.0,1422577,1059885,236.29,265.1,216.9,NSE Equity,OIL AND NATURAL GAS CORPORATIO,,,,,,,,0.006381766381792886,0.0012763532763585773,0.0051054131054343085,0.0,0.0,0.0,0.0,6.659999999999997,3.7900000000000205,2.869999999999976,6.659999999999997,0.0,0.0,,
2025-08-01 14:55:40,240.1,240.71,234.05,237.0,241.0,-1.6600000000000001,5,10730521,21,169,236.92,237.0,1426299,1084118,236.29,265.1,216.9,NSE Equity,OIL AND NATURAL GAS CORPORATIO,-,,,,,,,0.011308999115300367,0.0032828824441469354,0.008026116671153431,0.0,0.0,0.0,0.0,6.659999999999997,3.710000000000008,2.9499999999999886,6.659999999999997,0.0,0.0,,
2025-08-01 14:55:41,240.1,240.71,234.05,236.95,241.0,-1.6600000000000001,15,10730521,21,169,236.92,237.0,1426299,1084118,236.29,265.1,216.9,NSE Equity,OIL AND NATURAL GAS CORPORATIO,,,,,,,,0.011051885170161313,0.0048366829893498105,0.0062152021808115025,0.0,0.0,0.0,0.0,6.659999999999997,3.710000000000008,2.9499999999999886,6.659999999999997,0.0,0.0,,
2025-08-01 14:55:42,240.1,240.71,234.05,236.95,241.0,-1.6600000000000001,2,10730521,21,169,236.92,237.0,1426299,1084118,236.29,265.1,216.9,NSE Equity,OIL AND NATURAL GAS CORPORATIO,,,,,,,,0.010724495211150042,0.006014245433709858,0.004710249777440185,0.0,0.0,0.0,0.0,6.659999999999997,3.7600000000000193,2.8999999999999773,6.659999999999997,0.0,0.0,,
2025-08-01 14:55:42,240.1,240.71,234.05,236.95,241.0,-1.6800000000000002,4,10730639,18,4,236.92,236.95,1423390,1088099,236.29,265.1,216.9,NSE Equity,OIL AND NATURAL GAS CORPORATIO,-,,,,,,,0.010345776636881965,0.00688055167434428,0.0034652249625376852,0.0,0.0,0.0,0.0,6.659999999999997,3.7600000000000193,2.8999999999999773,6.659999999999997,0.0,0.0,,
2025-08-01 14:55:43,240.1,240.71,234.05,237.0,241.0,-1.6800000000000002,15,10730639,18,4,236.92,236.95,1423390,1088099,236.29,265.1,216.9,NSE Equity,OIL AND NATURAL GAS CORPORATIO,,,,,,,,0.013919763205393565,0.008288393980554138,0.005631369224839427,0.0,0.0,0.0,0.0,6.659999999999997,3.7600000000000193,2.8999999999999773,6.659999999999997,0.0,0.0,,
2025-08-01 14:55:43,240.1,240.71,234.05,237.0,241.0,-1.6600000000000001,17,10730773,176,163,236.92,237.0,1426109,1087704,236.29,265.1,216.9,NSE Equity,OIL AND NATURAL GAS CORPORATIO,-,,,,,,,0.016561265352152077,0.009942968254873726,0.006618297097278351,0.0,0.0,0.0,0.0,6.659999999999997,3.710000000000008,2.9499999999999886,6.659999999999997,0.0,0.0,,
2025-08-01 14:55:44,240.1,240.71,234.05,236.98,241.0,-1.6600000000000001,9,10730773,176,163,236.92,237.0,1426109,1087704,236.29,265.1,216.9,NSE Equity,OIL AND NATURAL GAS CORPORATIO,,236.97222222222223,,,,,,0.01684664435200034,0.011323703474299049,0.005522940877701291,0.0,0.0,0.0,0.0,6.659999999999997,3.710000000000008,2.9499999999999886,6.659999999999997,0.0,0.0,,
2025-08-01 14:55:44,240.1,240.71,234.05,236.92,241.0,-1.69,3,10730817,310,140,236.9,236.92,1420850,1081709,236.29,265.1,216.9,NSE Equity,OIL AND NATURAL GAS CORPORATIO,-,236.97222222222223,,,,,,0.012091922550155232,0.011477347289470285,0.0006145752606849467,0.0,0.0,0.0,0.0,6.659999999999997,3.730000000000018,2.9299999999999784,6.659999999999997,0.0,0.0,,
