Timestamp,Open,High,Low,Close,Trend,Change,SMA_20,SMA_50,RSI
2025-07-30 13:51:33,12431,12643,12420,12573,,0.87,,,
2025-07-30 13:51:35,12431,12643,12420,12573,,0.87,,,
2025-07-30 13:51:35,12431,12643,12420,12573,+,0.8300000000000001,,,
2025-07-30 13:51:37,12431,12643,12420,12578,,0.8300000000000001,,,
2025-07-30 13:51:39,12431,12643,12420,12578,,0.8300000000000001,,,
2025-07-30 13:51:40,12431,12643,12420,12578,+,0.87,,,
2025-07-30 13:51:41,12431,12643,12420,12577,,0.87,,,
2025-07-30 13:51:43,12431,12643,12420,12578,,0.87,,,
2025-07-30 13:51:45,12431,12643,12420,12577,,0.87,,,
2025-07-30 13:51:45,12431,12643,12420,12577,+,0.87,,,
2025-07-30 13:51:47,12431,12643,12420,12575,,0.87,,,
2025-07-30 13:51:49,12431,12643,12420,12578,,0.87,,,
2025-07-30 13:51:49,12431,12643,12420,12578,+,0.87,,,
2025-07-30 13:51:51,12431,12643,12420,12578,,0.87,,,69.23076923076923
2025-07-30 13:51:53,12431,12643,12420,12578,,0.87,,,69.23076923076923
2025-07-30 13:51:55,12431,12643,12420,12578,+,0.87,,,69.23076923076923
2025-07-30 13:51:55,12431,12643,12420,12578,,0.87,,,69.23076923076923
2025-07-30 13:51:59,12431,12643,12420,12578,,0.87,,,50.0
2025-07-30 13:52:00,12431,12643,12420,12578,+,0.87,,,50.0
2025-07-30 13:52:01,12431,12643,12420,12578,,0.87,12576.95,,50.0
2025-07-30 13:52:03,12431,12643,12420,12578,,0.87,12577.2,,57.14285714285714
2025-07-30 13:52:05,12431,12643,12420,12578,+,0.87,12577.45,,50.0
2025-07-30 13:52:05,12431,12643,12420,12578,,0.87,12577.7,,60.0
2025-07-30 13:52:07,12431,12643,12420,12578,,0.87,12577.7,,60.0
2025-07-30 13:52:09,12431,12643,12420,12578,,0.87,12577.7,,100.0
2025-07-30 13:52:09,12431,12643,12420,12578,+,0.87,12577.7,,
2025-07-30 13:52:11,12431,12643,12420,12578,,0.87,12577.75,,
2025-07-30 13:52:13,12431,12643,12420,12578,,0.87,12577.75,,
2025-07-30 13:52:13,12431,12643,12420,12578,+,0.87,12577.8,,
2025-07-30 13:52:15,12431,12643,12420,12578,,0.87,12577.85,,
2025-07-30 13:52:18,12431,12643,12420,12577,+,0.87,12577.95,,0.0
2025-07-30 13:52:19,12431,12643,12420,12578,,0.87,12577.95,,50.0
2025-07-30 13:52:21,12431,12643,12420,12578,,0.87,12577.95,,50.0
